;nome;preco;descricao
0;Banana Prata;R$ 1,69/u;Aprox. 130g/ud
1;Banana Nanica (ou Caturra);R$ 1,71/u;Aprox. 190g/ud
2;Laranja Pera;R$ 1,44/u;Aprox. 240g/ud
3;Manga Palmer;R$ 5,00/u;Aprox. 500g/ud
4;Maçã Fuji;R$ 3,06/u;Aprox. 180g/ud
5;Mamão Papaya (ou Hawai);R$ 5,59/u;Aprox. 560g/ud
6;Limão;R$ 0,50/u;Aprox. 100g/ud
7;Avocado;R$ 7,50/u;Aprox. 250g/ud
8;Limão Siciliano;R$ 4,20/u;Aprox. 210g/ud
9;Mexerica;R$ 4,20/u;Aprox. 210g/ud
10;Abacate Manteiga;R$ 5,12/u;Aprox. 570g/ud
11;Goiaba Vermelha;R$ 3,25/u;Aprox. 250g/ud
12;Kiwi;R$ 4,20/u;Aprox. 140g/ud
13;Maçã Gala;R$ 4,20/u;Aprox. 280g/ud
14;Banana Da Terra;R$ 3,30/u;Aprox. 220g/ud
15;Manga Tommy;R$ 5,49/u;Aprox. 550g/ud
16;Laranja Bahia Importada;R$ 4,79/u;Aprox. 500g/ud
17;Mimo Uva Vitória sem Semente Seleção;R$ 8,99;400 g
18;Vero Frutto Uva sem Semente;R$ 9,59;500 g
19;Mamão Formosa;R$ 10,83/u;Aprox. 1550g/ud
20;Melancia;R$ 17,28/u;Aprox. 2885g/ud
21;Maçã Red;R$ 5,00/u;Aprox. 250g/ud
22;Uvas Pretas Doce Uva com Sementes 500g;R$ 4,97;1 Und
23;Maracujá Doce;R$ 8,20/u;Aprox. 410g/ud
24;Maçã verde;R$ 4,20/u;Aprox. 210g/ud
25;Coco Verde;R$ 1,50/u;Aprox. 300g/ud
26;Vagem Pera;R$ 3,84/u;Aprox. 240g/ud
27;Pinha;R$ 6,00/u;Aprox. 300g/ud
28;Abacaxi Perola;R$ 25,98/u;Aprox. 2000g/ud
29;Limão Galego;R$ 1,50/u;Aprox. 150g/ud
30;Limão china;R$ 2,50/u;Aprox. 250g/ud
31;Doce Uva Uva Autumn Crisp;R$ 12,99;900 g
32;Melancia Baby;R$ 24,46/u;Aprox. 3500g/ud
33;Romã Perboni;R$ 16,00/u;Aprox. 400g/ud
34;Vero Uva Vermelha Sem Semente;R$ 9,99;500 g
35;Doce Uva Vermelha Sem Semente;R$ 11,99;500 g
36;Melão;R$ 9,34/u;Aprox. 1560g/ud
37;Melão Orange;R$ 31,98/u;Aprox. 2000g/ud
38;Lima da Pérsia;R$ 2,34/u;Aprox. 180g/ud
39;Uva itália;R$ 19,99/kg;A partir de 250g
40;Uva Rubi;R$ 19,99/kg;A partir de 400g
41;Pitaya;R$ 20,00/u;Aprox. 500g/ud
42;Cereja;R$ 29,99/kg;A partir de 560g
43;Coco Seco;R$ 4,19/u;Aprox. 700g/ud
44;Doce Uva Uva Cotton Candy sem Semente;R$ 15,99;500 g
45;Morango Californiano Fondue;R$ 15,99;250 g
46;Morango Premium;R$ 9,99;250 g
47;Pico Melão Doce;R$ 15,58/u;Aprox. 1560g/ud
48;Laranja da ilha;R$ 1,20/u;Aprox. 200g/ud
49;Uva Red Globe;R$ 29,99/kg;A partir de 250g
50;Morgote;R$ 15,99/u;Aprox. 1000g/ud
51;Cajamanga;R$ 7,00/u;Aprox. 350g/ud
