nome;preco;descricao
Banana Prata;R$ 1,69/u;Aprox. 130g/ud
Banana Nanica (ou Caturra);R$ 1,71/u;Aprox. 190g/ud
Laranja Pera;R$ 1,44/u;Aprox. 240g/ud
Manga Palmer;R$ 5,00/u;Aprox. 500g/ud
Maçã Fuji;R$ 3,06/u;Aprox. 180g/ud
Mamão Papaya (ou Hawai);R$ 5,59/u;Aprox. 560g/ud
Limão;R$ 0,50/u;Aprox. 100g/ud
Avocado;R$ 7,50/u;Aprox. 250g/ud
Limão Siciliano;R$ 4,20/u;Aprox. 210g/ud
Mexerica;R$ 4,20/u;Aprox. 210g/ud
Abacate Manteiga;R$ 5,12/u;Aprox. 570g/ud
Goiaba Vermelha;R$ 3,25/u;Aprox. 250g/ud
Kiwi;R$ 4,20/u;Aprox. 140g/ud
Maçã Gala;R$ 4,20/u;Aprox. 280g/ud
Banana Da Terra;R$ 3,30/u;Aprox. 220g/ud
Manga Tommy;R$ 5,49/u;Aprox. 550g/ud
Laranja Bahia Importada;R$ 4,79/u;Aprox. 500g/ud
Mimo Uva Vitória sem Semente Seleção;R$ 8,99;400 g
Vero Frutto Uva sem Semente;R$ 9,59;500 g
Mamão Formosa;R$ 10,83/u;Aprox. 1550g/ud
Melancia;R$ 17,28/u;Aprox. 2885g/ud
Maçã Red;R$ 5,00/u;Aprox. 250g/ud
Uvas Pretas Doce Uva com Sementes 500g;R$ 4,97;1 Und
Maracujá Doce;R$ 8,20/u;Aprox. 410g/ud
Maçã verde;R$ 4,20/u;Aprox. 210g/ud
Coco Verde;R$ 1,50/u;Aprox. 300g/ud
Vagem Pera;R$ 3,84/u;Aprox. 240g/ud
Pinha;R$ 6,00/u;Aprox. 300g/ud
Abacaxi Perola;R$ 25,98/u;Aprox. 2000g/ud
Limão Galego;R$ 1,50/u;Aprox. 150g/ud
Limão china;R$ 2,50/u;Aprox. 250g/ud
Doce Uva Uva Autumn Crisp;R$ 12,99;900 g
Melancia Baby;R$ 24,46/u;Aprox. 3500g/ud
Romã Perboni;R$ 16,00/u;Aprox. 400g/ud
Vero Uva Vermelha Sem Semente;R$ 9,99;500 g
Doce Uva Vermelha Sem Semente;R$ 11,99;500 g
Melão;R$ 9,34/u;Aprox. 1560g/ud
Melão Orange;R$ 31,98/u;Aprox. 2000g/ud
