nome;preco;descricao
Limão Tahiti;R$ 0,33/u;Aprox. 110g/ud
Banana Nanica (ou Caturra);R$ 0,90/u;Aprox. 170g/ud
Laranja Pera;R$ 1,61/u;Aprox. 230g/ud
Banana Prata Orgânica;R$ 7,43/u;Aprox. 393g/ud
Maçã Fuji;R$ 3,18/u;Aprox. 190g/ud
Maracujá Azedo;R$ 5,28/u;Aprox. 280g/ud
Avocado;R$ 17,04/u;Aprox. 570g/ud
Tangerina Importada;R$ 5,68/u;Aprox. 370g/ud
Abacate Manteiga;R$ 4,38/u;Aprox. 580g/ud
Ameixa Importada;R$ 2,61/u;Aprox. 140g/ud
Pera Williams;R$ 6,22/u;Aprox. 250g/ud
Kiwi Importado;R$ 4,79/u;Aprox. 120g/ud
Manga Tommy;R$ 6,84/u;Aprox. 530g/ud
Tangerina Ponkam;R$ 1,98/u;Aprox. 200g/ud
Morango;R$ 9,03;250 g
Fischer Maçã Turma da Mônica;R$ 11,83;1 Kg
Peterfrut Morango Premium;R$ 16,90;210 g
Laranja Lima;R$ 2,60/u;Aprox. 200g/ud
Banana Maca Organica;R$ 3,04/u;Aprox. 170g/ud
Melancia;R$ 11,80/u;Aprox. 2885g/ud
Kiwi Gold;R$ 5,77/u;Aprox. 150g/ud
Banana Nanica Orgânica;R$ 2,53/u;Aprox. 170g/ud
Qualitá Uva Verde sem Semente Thompson;R$ 15,29;500 g
Abacaxi Pérola;R$ 9,99;1 Und
Maçã Gala;R$ 2,64/u;Aprox. 205g/ud
Maçã Verde Granny Smith;R$ 3,98/u;Aprox. 200g/ud
Laranja Pera na Malha Ecológica;R$ 195,25/u;Aprox. 5000g/pct
Melancia Cortada;R$ 5,99;4 Kg
Turma da Mônica Tomate Uva Sweet Grape;R$ 12,99;180 g
Banana da Terra;R$ 4,56/u;Aprox. 270g/ud
Limão Siciliano;R$ 3,47/u;Aprox. 190g/ud
Qualitá Uva Clara sem Sementes;R$ 20,69;500 g
Melão Amarelo;R$ 15,70/u;Aprox. 2000g/ud
Pêssego Importado;R$ 2,98/u;Aprox. 150g/ud
Mamão Formosa Cubos no Copo;R$ 4,99;200 g
Qualitá Uva Roxa sem Semente;R$ 16,90;500 g
Limão Tahiti na Malha Ecológica;R$ 3,99;Aprox. 1000g/pct
Qualitá Laranja Pera;R$ 20,85;3 Kg
Coco Verde;R$ 4,99;1 Und
Qualitá Uva Mista sem Sementes;R$ 19,90;500 g
Mamão Formosa;R$ 12,68/u;Aprox. 1680g/ud
Abacaxi Perola Em Cubos;R$ 6,99;200 g
Pra Valer Laranja Pêra;R$ 19,17;3 Kg
Melancia Baby;R$ 21,70/u;Aprox. 3500g/ud
Mamão formosa cortado;R$ 3,48/u;Aprox. 200g/ud
Maca Pink Lady;R$ 3,54/u;Aprox. 210g/ud
Melancia Fatiada;R$ 15,38/u;Aprox. 1770g/ud
Qualitá Uva Niagara;R$ 12,99;500 g
Maca Red Importado;R$ 2,72/u;Aprox. 190g/ud
Manga Rosa;R$ 6,76/u;Aprox. 400g/ud
Maçã Pré Lavada Qualitá;R$ 16,90;1 Kg
Uva Crinson sem Sementes Qualitá;R$ 14,59;500 g
Laranja Importada;R$ 3,30/u;Aprox. 290g/ud
Tangerina Decopon Sem Semente;R$ 8,07/u;Aprox. 270g/ud
Mix Frutas Vermelhas Congelado Qualitá;R$ 25,69;400 g
Othil Acerola;R$ 22,69;500 g
Rei Melão Amarelo;R$ 42,64/u;Aprox. 2250g/ud
Nectarina Importado;R$ 2,57/u;Aprox. 170g/ud
São Luiz Mexerica Clemenville;R$ 22,90;700 g
Coco Seco;R$ 6,29/u;Aprox. 700g/ud
Batata Inglesa;R$ 1,50/u;Aprox. 170g/ud
Tomate Italiano;R$ 2,19/u;Aprox. 170g/ud
Mandioquinha;R$ 11,94/u;Aprox. 600g/ud
Batata Doce Roxa;R$ 2,58/u;Aprox. 400g/ud
Cebola Roxa;R$ 2,10/u;Aprox. 210g/ud
Chuchu;R$ 5,19/u;Aprox. 650g/ud
Chuchu;R$ 6,99;280 g
Cebola;R$ 2,80/u;Aprox. 400g/ud
Beterraba;R$ 2,59/u;Aprox. 433g/ud
Berinjela;R$ 2,03/u;Aprox. 360g/ud
Pimentão Verde;R$ 9,99;220 g
Pepino;R$ 1,92/u;Aprox. 240g/ud
Pepino;R$ 5,99;Aprox. 290g/ud
Inhame;R$ 10,80/u;Aprox. 725g/ud
Inhame;R$ 9,99;400 g
Gengibre;R$ 4,83/u;Aprox. 200g/ud
Brócolis Ninja Qualitá;R$ 12,90;300 g
Brócolis;R$ 12,90;300 g
Repolho Verde;R$ 5,59/u;Aprox. 560g/ud
Pepino Japones Extra;R$ 2,35/u;Aprox. 220g/ud
Trebeschi Milho Verde Sweet;R$ 12,90;450 g
